model_a,baseline,environment,auc_dynamofe,auc_baseline,point_diff,ci_95_low,ci_95_high,statistically_superior
DynaMoFE (Adaptive Gating OOF),TALL (Local Seed 42),canonical,99.31377551020408,98.38010204081633,0.933673469387756,0.15688775510203357,2.021683673469383,True
DynaMoFE (Adaptive Gating OOF),TALL (Local Seed 42),jpeg40,97.97066326530613,89.73852040816327,8.232142857142861,5.5687499999999845,11.287053571428576,True
DynaMoFE (Adaptive Gating OOF),TALL (Local Seed 42),webp50,96.2079081632653,92.47257653061224,3.7359693877551052,2.450255102040813,5.267857142857139,True
DynaMoFE (Adaptive Gating OOF),TALL (Local Seed 42),h264_crf35,92.99107142857143,76.39923469387755,16.593112244897966,13.428571428571445,19.853316326530617,True
DynaMoFE (Adaptive Gating OOF),TALL (Local Seed 42),h265_crf32,94.5,84.8233418367347,9.676020408163254,7.119866071428572,12.363520408163254,True
DynaMoFE (Adaptive Gating OOF),TALL (Local Seed 42),resize075_then_h264_crf30,95.42602040816328,90.26977040816325,5.156887755102048,3.2920599489795963,7.195184948979589,True
DynaMoFE (Adaptive Gating OOF),TALL (Local Seed 42),h264_crf30_then_resize075,96.77040816326532,91.32589285714286,5.445153061224502,3.531823979591844,7.368686224489796,True
DynaMoFE (Adaptive Gating OOF),ForensicsAdapter,canonical,99.31377551020408,95.60204081632652,3.7117346938775597,2.4744897959183727,4.910778061224495,True
DynaMoFE (Adaptive Gating OOF),ForensicsAdapter,jpeg40,97.97066326530613,88.42091836734693,9.5497448979592,7.794610969387759,11.113520408163268,True
DynaMoFE (Adaptive Gating OOF),ForensicsAdapter,webp50,96.2079081632653,88.93112244897961,7.276785714285722,5.473150510204074,9.000031887755101,True
DynaMoFE (Adaptive Gating OOF),ForensicsAdapter,h264_crf35,92.99107142857143,86.10076530612244,6.890306122448976,4.5917729591836665,9.03319515306123,True
DynaMoFE (Adaptive Gating OOF),ForensicsAdapter,h265_crf32,94.5,85.92474489795919,8.575255102040813,6.267793367346949,10.859757653061227,True
