Config,InDim,Clean AUC,Sealed Mean,Worst Codec,H.265 CRF 32,H.264 CRF 35,JPEG 40,WebP 50,Top-1 Acc %,Top-2 Recall %,Pairwise Acc %,Kendall Tau,Spearman Rho,Delta W Norm,Mean W_FCG,Mean W_TALL,Mean W_F3,Mean W_XC
Full 28-D Degradation,28,99.3622448979592,95.62797619047619,92.84948979591836,94.56377551020408,92.84948979591836,98.12117346938776,96.00765306122449,26.24489795918367,46.89795918367347,47.68367346938776,-0.04632653061224491,-0.05383673469387754,0.11630095,0.3717247,0.19938368,0.203256,0.22563511
Original 16-D Baseline,16,99.34311224489795,95.68516156462586,93.04719387755104,94.49744897959184,93.04719387755104,98.0280612244898,96.19387755102042,26.26530612244898,44.02040816326531,47.88095238095239,-0.04238095238095239,-0.0486938775510204,0.064860046,0.37555045,0.20030566,0.20122668,0.22291729
Ablate Spectral (-3D),25,99.36224489795919,95.70344387755102,92.99872448979592,94.62117346938777,92.99872448979592,98.10076530612245,96.09056122448979,26.24489795918367,45.48979591836735,47.10884353741498,-0.05782312925170069,-0.06591836734693877,0.118287705,0.37817132,0.19271626,0.20686324,0.22224876
Ablate Blockiness (-5D),23,99.34948979591837,95.62840136054422,92.76147959183673,94.4438775510204,92.76147959183673,98.02423469387756,96.18367346938777,26.26530612244898,45.83673469387755,47.88095238095239,-0.042380952380952394,-0.0526938775510204,0.12778848,0.37564528,0.19956179,0.20358749,0.22120509
Ablate Temporal (-4D),24,99.34311224489797,95.61926020408164,92.80994897959184,94.4438775510204,92.80994897959184,98.0829081632653,96.08290816326532,26.224489795918366,46.20408163265306,47.56122448979592,-0.04877551020408164,-0.05918367346938776,0.11551213,0.3746218,0.20170477,0.20122087,0.22245245
Ablate Spatial/Blur (-10D),18,99.36734693877551,95.67920918367348,92.86224489795919,94.52806122448979,92.86224489795919,98.10586734693877,96.19005102040816,26.24489795918367,48.30612244897959,47.81292517006803,-0.04374149659863946,-0.05579591836734694,0.093944855,0.37790227,0.19916815,0.20387356,0.21905635
Ablate DCT Stats (-4D),24,99.33673469387756,95.59289965986395,92.71045918367348,94.37882653061223,92.71045918367348,98.0969387755102,96.13520408163265,26.26530612244898,45.44897959183673,47.255102040816325,-0.05489795918367347,-0.06448979591836734,0.109667696,0.3736535,0.20363693,0.19984119,0.22286884
Ablate Chroma/Resamp (-2D),26,99.35459183673468,95.62500000000001,92.94770408163265,94.45918367346938,92.94770408163265,98.07142857142857,96.08163265306122,26.26530612244898,48.95918367346938,47.96598639455783,-0.04068027210884354,-0.04551020408163265,0.10106953,0.3703913,0.20079935,0.20438106,0.22442864
Only Spectral (3D),3,99.34821428571428,95.69047619047618,93.06505102040818,94.52295918367346,93.06505102040818,98.01913265306122,96.20280612244898,26.26530612244898,38.69387755102041,47.45238095238095,-0.050952380952380964,-0.05840816326530613,0.057851657,0.3715557,0.20188506,0.20195033,0.22461686
Only Blockiness (5D),5,99.34183673469389,95.6813350340136,93.05994897959184,94.50892857142857,93.05994897959184,98.11989795918367,96.26147959183673,26.24489795918367,47.42857142857143,47.95238095238095,-0.04095238095238097,-0.04897959183673469,0.1044672,0.3715275,0.2063382,0.19950461,0.22262959
Only Temporal (4D),4,99.3622448979592,95.67835884353741,93.11607142857142,94.50637755102042,93.11607142857142,98.03443877551021,96.14030612244898,26.26530612244898,42.816326530612244,47.24829931972789,-0.05503401360544218,-0.06391836734693877,0.07794249,0.3699833,0.19778635,0.20598859,0.22624187
Only Spatial/Blur (10D),10,99.33035714285714,95.67113095238096,92.875,94.51147959183673,92.875,98.04974489795917,96.25765306122449,26.24489795918367,44.244897959183675,48.08163265306122,-0.03836734693877552,-0.04677551020408163,0.09831657,0.36785606,0.20500441,0.19997117,0.22716765
Only DCT Stats (4D),4,99.34948979591836,95.68473639455782,93.08418367346938,94.50765306122449,93.08418367346938,98.01913265306122,96.18494897959184,26.26530612244898,39.816326530612244,47.22448979591837,-0.05551020408163265,-0.062081632653061235,0.06768838,0.36872965,0.20125686,0.20417641,0.22583634
